Features,Weights
Total significant strikes attempted on opponent,-3.4293
Number of strikes to opponents head landed,-3.2238
Total strikes attempted on opponent,-2.8965
Number of takedowns attempted on opponent,-2.3423
Number of strikes attempted from a distance,-1.4892
Number of strikes landed from a distance,1.3456
Number of guard passes achieved,-1.2626
Total strikes landed on opponent,-1.1251
Percent of takedowns successfully completed,1.1131
Number of takedowns successfully completed,0.7164
Number of strikes attempted while on the ground,-0.6729
